IDCLIENTE,CLIENTE,USUARIOS,EJECUTIVO,TIPO DE DESCUENTO,%DESCUENTO,DIRECCION,ZONA,TIPO DE CLIENTE,GPS CLIENTE,TELEFONO,CORREO,REGFENTE,REDES SOCIALES,ASISTENTE DE FARMACIAS,ENCARGADO DE FARMACIA,priodidad,MES DE ACTIVACION,UNION,ESTATUS,CODIGO DE BRICK,DESCRIPCION IMS 
FCIA FARMADON PRINCIPAL,FCIA FARMADON PRINCIPAL,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,1,,601,
FCIA FARMADON EXPRESS PIAR,FCIA FARMADON EXPRESS PIAR,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,601,
FCIA FARMADON LOS CORTIJOS,FCIA FARMADON LOS CORTIJOS,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,6203,
FCIA FARMADON GOBERNACION,FCIA FARMADON GOBERNACION,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,601,
FCIA FARMADON GUARITOS,FCIA FARMADON GUARITOS,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,603,
FCIA FARMADON LA FLORESTA,FCIA FARMADON LA FLORESTA,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,6203,
FCIA FARMADON SERVIMAS,FCIA FARMADON SERVIMAS,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,604,
FCIA FARMADON JUNCAL,FCIA FARMADON JUNCAL,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,601,
FCIA FARMADON HOSPITAL,FCIA FARMADON HOSPITAL,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,601,
FCIA FARMADON AVENIDAS,FCIA FARMADON AVENIDAS,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,601,
FCIA FARMADON MERCADO,FCIA FARMADON MERCADO,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,601,
FCIA FARMADON TIPURO EXPRESS,FCIA FARMADON TIPURO EXPRESS,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,604,
FCIA FARMADON EXPRESS 2 CHIMBORAZO,FCIA FARMADON EXPRESS 2 CHIMBORAZO,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,601,
FCIA FARMADON LOS SAMANES,FCIA FARMADON LOS SAMANES,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,601,
FCIA FARMADON LA CRUZ,FCIA FARMADON LA CRUZ,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,6203,
FCIA FARMADON BOQUERON,FCIA FARMADON BOQUERON,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,604,
FCIA FARMADON FURRIAL,FCIA FARMADON FURRIAL,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,6229,
FCIA FARMADON PALMA REAL,FCIA FARMADON PALMA REAL,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,604,
FCIA PODEROSO,FCIA PODEROSO,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,601,
FCIA PODEROSO HOSPITAL,FCIA PODEROSO HOSPITAL,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,601,
FCIA EL OFERTON PIAR,FCIA EL OFERTON PIAR,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,7,,601,
FCIA EL OFERTON MIRANDA,FCIA EL OFERTON MIRANDA,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,601,
FCIA FARMATINA,FCIA FARMATINA,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,3,,601,
FCIA FARMAPAZ CITY,FCIA FARMAPAZ CITY,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,601,
FCIA FARMAPAZ HOSPITAL,FCIA FARMAPAZ HOSPITAL,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,601,
FCIA FARMAPAZ LAS AVENIDAS,FCIA FARMAPAZ LAS AVENIDAS,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,7,,601,
FCIA FARMAPAZ JUNCAL,FCIA FARMAPAZ JUNCAL,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,601,
FCIA FARMAPAZ AZCUE,FCIA FARMAPAZ AZCUE,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,7,,601,
FCIA FARMAPAZ LUIS DEL VALLE,FCIA FARMAPAZ LUIS DEL VALLE,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,601,
FCIA FARMAPAZ MERCADO,FCIA FARMAPAZ MERCADO,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,601,
FCIA FARMAPAZ LOS GUARITOS,FCIA FARMAPAZ LOS GUARITOS,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,601,
FCIA FARMAPAZ EL EJERCITO,FCIA FARMAPAZ EL EJERCITO,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,601,
FCIA FARMAPAZ LA PUENTE,FCIA FARMAPAZ LA PUENTE,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,601,
FCIA FARMAPAZ LAS COCUIZAS,FCIA FARMAPAZ LAS COCUIZAS,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,601,
FCIA DRO MEDICAL HOSPI SALUD,FCIA DRO MEDICAL HOSPI SALUD,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,7,,601,
FCIA FARMAZA PRINCIPAL,FCIA FARMAZA PRINCIPAL,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,6223,
FCIA FARMAZA SUCURSAL,FCIA FARMAZA SUCURSAL,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,6223,
FCIA SANTA BARBARA,FCIA SANTA BARBARA,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,6401,
FCIA CLINIC FARMA TUCUPITA,FCIA CLINIC FARMA TUCUPITA,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,6401,
FCIA CLINIC FARMA MATURIN,FCIA CLINIC FARMA MATURIN,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,10,,601,
FCIA CLINIC FARMA PUNTA DE MATA,FCIA CLINIC FARMA PUNTA DE MATA,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,6217,
FCIA VINOTINTO FARMA,FCIA VINOTINTO FARMA,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,6217,
FCIA LOS ANDES 69,FCIA LOS ANDES 69,lchirino@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,9,,6217,
FCIA LA REALEZA,FCIA LA REALEZA,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,603,
FCIA INSTAFARMA,FCIA INSTAFARMA,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,604,
FCIA FARMALITO,FCIA FARMALITO,lchirino@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,,6203,
FCIA SUPERFARMA RV,FCIA SUPERFARMA RV,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,10,,602,
FCIA MEGAFARMA 1 EL CHIMBORAZO,FCIA MEGAFARMA 1 EL CHIMBORAZO,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,4,,601,
FCIA MEGAFARMA 7 SAN SIMON,FCIA MEGAFARMA 7 SAN SIMON,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,601,
FCIA MEGAFARMA 10 CAYENA,FCIA MEGAFARMA 10 CAYENA,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,601,
FCIA MEGAFARMA 12 PUNTO EXPRESS,FCIA MEGAFARMA 12 PUNTO EXPRESS,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,601,
FARMATODO PALMA REAL,FARMATODO PALMA REAL,lchirino@distrilabve.com,,VOLUMEN,,,,FARMATODO,,,,,,,,,,4,,604,
FARMATODO PEDREGAL,FARMATODO PEDREGAL,lchirino@distrilabve.com,,VOLUMEN,,,,FARMATODO,,,,,,,,,,5,,6203,
FARMATODO PORVENIR,FARMATODO PORVENIR,lchirino@distrilabve.com,,VOLUMEN,,,,FARMATODO,,,,,,,,,,5,,6217,
FARMATODO ANITA,FARMATODO ANITA,lchirino@distrilabve.com,,VOLUMEN,,,,FARMATODO,,,,,,,,,,6,,601,
FARMATODO MARIANA,FARMATODO MARIANA,lchirino@distrilabve.com,,VOLUMEN,,,,FARMATODO,,,,,,,,,,6,,601,
FARMATODO ROSARIO,FARMATODO ROSARIO,lchirino@distrilabve.com,,VOLUMEN,,,,FARMATODO,,,,,,,,,,6,,601,
FARMATODO ZONA INDUSTRIAL,FARMATODO ZONA INDUSTRIAL,lchirino@distrilabve.com,,VOLUMEN,,,,FARMATODO,,,,,,,,,,6,,6203,
FCIA FARMADON PLAZA SIETE 22,FCIA FARMADON PLAZA SIETE 22,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,601,
FCIA LIFE EXPRESS,FCIA LIFE EXPRESS,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,601,
FCIA FARMADON LAS BRISAS,FCIA FARMADON LAS BRISAS,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,601,
FCIA FARMAPAZ LA CRUZ,FCIA FARMAPAZ LA CRUZ,lchirino@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,6203,
Farmacia Farmasalud Saint Michel c.a,Farmacia Farmasalud Saint Michel c.a,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,10,,8024,
FARMACIA SIERRA PARIMA,FARMACIA SIERRA PARIMA,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,10,,803,
DOCTOR X,DOCTOR X,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,10,,8016,
FARMACIA EL FORTIN,FARMACIA EL FORTIN,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,10,,8024,
MAXIMA SALUD PRINCIPAL,MAXIMA SALUD PRINCIPAL,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,7,,8024,
MAXIMA SALUD  SUCURSAL 2,MAXIMA SALUD  SUCURSAL 2,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,10,,8024,
OPTIMA SALUD,OPTIMA SALUD,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,8024,
FARMATONY,FARMATONY,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,5,,8026,
CARMEN LUZ,CARMEN LUZ,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,9,,8026,
FARMARIOS,FARMARIOS,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,8024,
FARMA 286,FARMA 286,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,8016,
FARMACARONI,FARMACARONI,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,8016,
FARMAGUAYANA,FARMAGUAYANA,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,803,
FARMAORINOCO,FARMAORINOCO,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,10,,803,
SAASELATIANTICO ESPINOZA,SAASELATIANTICO ESPINOZA,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,,,801,
BOTIQUERIA EL DORADO ESPINOZA,BOTIQUERIA EL DORADO ESPINOZA,hserrano@distrilabve.com,,VOLUMEN,,,,EN RUTA,,,,,,,,,,8,,8024,
